,title,price,url,website
62,DEXPANTENOL BEPANDEX BABY CREME 120G,"R$28,45",https://www.ultrafarma.com.br/psorex-pomada-com-30g,ultrafarma
63,NEYRUB POMADA 12G SIDNEY OLIVEIRA,"R$8,90",https://www.ultrafarma.com.br/gelo-bio-pomada-com-20g,ultrafarma
64,PROCTOSAN POMADA 20G 6 APLICADORES,"R$23,60",https://www.ultrafarma.com.br/neomicina-nemicina-pomada-com-20g,ultrafarma
65,HIPOGLÓS TRANSPARENTE 120G,"R$51,92",https://www.ultrafarma.com.br/dexpantenol-bepandex-baby-creme-120g,ultrafarma
66,NEYRUB POMADA 40G SIDNEY OLIVEIRA,"R$19,90",https://www.ultrafarma.com.br/dipropionato-de-betametasona-acido-salicilico-dermosalic-pomada-30g,ultrafarma
67,DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO - DERMOSALIC POMADA 30G,"R$18,63",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-hipoglos-amendoas-com-80g,ultrafarma
68,NOVACORT POMADA 30G,"R$35,87",https://www.ultrafarma.com.br/neyrub-pomada-12g-sidney-oliveira,ultrafarma
69,DIPROSALIC POMADA 30G,"R$36,79",https://www.ultrafarma.com.br/mometasona-pomada-com-20-g-medley-generico,ultrafarma
70,POMADA DE BELLADONNA OFFICINALIS 25G,"R$29,88",https://www.ultrafarma.com.br/dexpantenol-bepandex-baby-creme-30g,ultrafarma
71,MOMETASONA POMADA 20G - EMS - GENÉRICO,"R$14,90",https://www.ultrafarma.com.br/hipoglos-transparente-120g,ultrafarma
72,CANDICORT POMADA 30G,"R$35,26",https://www.ultrafarma.com.br/proctyl-pomada-com-10-bisnagas-de-3-g-10-aplicadores,ultrafarma
73,PROCTYL POMADA 10 BISNAGAS 3G + 10 APLICADORES,"R$64,91",https://www.ultrafarma.com.br/cetoconazol-dipropionato-de-betametasona-neomicina-cetocort-n-pomada-30g,ultrafarma
74,POMADA CHARMING MODELADORA NORMAL 50G,"R$25,97",https://www.ultrafarma.com.br/desonida-pomada-tubo-com-30g-germed-generico,ultrafarma
75,TROK-N POMADA 10G,"R$16,48",https://www.ultrafarma.com.br/calendula-officinalis-pomada-25g,ultrafarma
76,HIPOGLÓS ORIGINAL 135G,"R$60,02",https://www.ultrafarma.com.br/mometasona-pomada-com-20g-ems-generico,ultrafarma
77,NEOMICINA - NEMICINA POMADA 20G,"R$11,62",https://www.ultrafarma.com.br/neyrub-pomada-40g-sidney-oliveira,ultrafarma
78,CALÊNDULA OFFICINALIS POMADA 25G,"R$33,75",https://www.ultrafarma.com.br/hipoglos-pomada-com-135g,ultrafarma
79,IMESCARD POMADA 25G,"R$40,09",https://www.ultrafarma.com.br/betnovate-pomada-com-30g,ultrafarma
80,HIPOGLÓS AMÊNDOAS 80G,"R$37,99",https://www.ultrafarma.com.br/pomada-charming-modeladora-normal-50g,ultrafarma
81,DERMODEX TRATAMENTO POMADA 60G,"R$69,62",https://www.ultrafarma.com.br/neomicina-bacitracina-pomada-com-50g-prati-donaduzzi-generico,ultrafarma
82,MOMETASONA POMADA 20G - MEDLEY - GENÉRICO,"R$17,92",https://www.ultrafarma.com.br/candicort-pomada-com-30g,ultrafarma
83,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + NEOMICINA - CETOCORT N POMADA 30G,"R$12,47",https://www.ultrafarma.com.br/proctosan-pomada-20-g-com-6-aplicadores,ultrafarma
